2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-05-20/20:11:49		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-05-20/20:11:49		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-05-20/20:11:50		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-05-20/20:11:50		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-05-20/20:11:50		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-05-20/20:11:51		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-05-20/20:11:51		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-05-20/20:11:52		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-05-20/20:11:52		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-05-20/20:13:11		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-05-20/20:13:12		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-05-20/20:13:12		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-05-20/20:13:12		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-05-20/20:13:12		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-05-20/20:13:13		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-05-20/20:13:13		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-05-20/20:13:14		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-05-20/20:13:14		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-05-20/20:13:56		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-05-20/20:13:57		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-05-20/20:13:57		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-05-20/20:13:57		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-05-20/20:13:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-05-20/20:13:58		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-05-20/20:13:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-05-20/20:13:59		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-05-20/20:13:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-05-20/20:44:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-05-20/20:44:29		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-05-20/20:44:30		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-05-20/20:44:30		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-05-20/20:44:31		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-05-20/20:44:31		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-05-20/20:44:31		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-05-20/20:44:32		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-05-20/20:44:32		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-05-20/20:46:39		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-05-20/20:46:39		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-05-20/20:46:40		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-05-20/20:46:40		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-05-20/20:46:40		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-05-20/20:46:41		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-05-20/20:46:41		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-05-20/20:46:42		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-05-20/20:46:42		 wafer_29012020_050617.csv: File Transformed successfully!!
